LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","CAN","US Cancer DVT","https://www.cdc.gov/cancer/dataviz ","Breast cancer mortality among all females, underlying cause","CAN02","OVERALL","Overall","Overall","OVR",2016,2020,19.6,19.5,19.7,"19.6","19.5","19.7","per 100,000","Age-adjusted Rate","AGEADJRATE","","","1"
"US","United States","59","CAN","US Cancer DVT","https://www.cdc.gov/cancer/dataviz ","Cervical cancer mortality among all females, underlying cause","CAN03","OVERALL","Overall","Overall","OVR",2016,2020,2.2,2.2,2.2,"2.2","2.2","2.2","per 100,000","Age-adjusted Rate","AGEADJRATE","","","1"
"US","United States","59","CAN","US Cancer DVT","https://www.cdc.gov/cancer/dataviz ","Invasive cancer (all sites combined) mortality among all people, underlying cause","CAN08","OVERALL","Overall","Overall","OVR",2016,2020,149.4,149.3,149.6,"149.4","149.3","149.6","per 100,000","Age-adjusted Rate","AGEADJRATE","","","1"
"US","United States","59","CAN","US Cancer DVT","https://www.cdc.gov/cancer/dataviz ","Prostate cancer mortality among all males, underlying cause","CAN05","OVERALL","Overall","Overall","OVR",2016,2020,18.8,18.7,18.9,"18.8","18.7","18.9","per 100,000","Age-adjusted Rate","AGEADJRATE","","","1"
"US","United States","59","CAN","US Cancer DVT","https://www.cdc.gov/cancer/dataviz ","Lung and bronchial cancer mortality among all people, underlying cause","CAN04","OVERALL","Overall","Overall","OVR",2016,2020,35,34.9,35,"35.00","34.9","35.00","per 100,000","Age-adjusted Rate","AGEADJRATE","","","1"
"US","United States","59","CAN","US Cancer DVT","https://www.cdc.gov/cancer/dataviz ","Invasive cancer (all sites combined), incidence","CAN07","OVERALL","Overall","Overall","OVR",2016,2020,442.3,442,442.6,"442.3","442.00","442.6","per 100,000","Age-adjusted Rate","AGEADJRATE","","","1"
"US","United States","59","CAN","US Cancer DVT","https://www.cdc.gov/cancer/dataviz ","Colon and rectum (colorectal) cancer mortality among all people, underlying cause","CAN01","OVERALL","Overall","Overall","OVR",2016,2020,13.1,13.1,13.2,"13.1","13.1","13.2","per 100,000","Age-adjusted Rate","AGEADJRATE","","","1"
"US","United States","59","CAN","BRFSS","https://www.cdc.gov/brfss","Colorectal cancer screening among adults aged 45-75 years","CAN06","OVERALL","Overall","Overall","OVR",2022,2022,55,54.5,55.4,"55.00","54.5","55.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"US","United States","59","CAN","BRFSS","https://www.cdc.gov/brfss","Cervical cancer screening among women aged 21-65 years","CAN10","OVERALL","Overall","Overall","OVR",2020,2020,83.5,83,84.1,"83.5","83.00","84.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
